"year","locality","n_offers","average_price_nominal_euros","average_price_m2_nominal_euros"
"2010","Kehlen",339,722238.71,3653.84
"2010","Kiischpelt",79,431157.04,2758.9
"2010","Koerich",124,624003.17,3112.92
"2010","Kopstal",159,764166.67,3814.02
"2010","Lac de la Haute-Sûre",80,510604.93,2828.74
"2010","Larochette",78,456218.15,2555.08
"2010","Lenningen",107,561987.79,3068.77
"2010","Leudelange",134,661047.51,3728.1
"2010","Lintgen",136,599191.35,3464.7
"2010","Lorentzweiler",109,630770.2,3629.33
"2010","Luxembourg",1186,687345.73,3936.46
"2010","Mamer",351,728893.07,3699.21
"2010","Manternach",77,518309.99,3134.95
"2010","Medernach",39,436064.1,2619.54
"2010","Mersch",527,544950.27,3417.97
"2010","Mertert",246,538328,3199.92
"2010","Mertzig",279,485441.42,2967.37
"2010","Mompach",75,539777.35,2802.29
"2010","Mondercange",304,686160.73,3405.09
"2010","Mondorf-les-Bains",136,726121.01,3884.07
"2010","Munshausen",105,511371.31,2576.96
"2010","Neunhausen",56,434876.57,3024.47
"2010","Niederanven",239,830236.44,4191.26
"2010","Nommern",70,573534.5,3290.24
"2010","Pétange",556,423512.53,2777.93
"2010","Préizerdaul",71,572473.55,3160.04
"2010","Putscheid",36,460107.22,2939.04
"2010","Rambrouch",201,455493.58,2714.45
"2010","Reckange-sur-Mess",136,665347.08,3894.83
"2010","Redange-sur-Attert",178,553142.56,3143.18
"2010","Reisdorf",53,473934.38,2696.54
"2010","Remich",122,598631.57,2949
"2010","Roeser",149,665718.55,3607.38
"2010","Rosport",99,466534.95,2699.78
"2010","Rumelange",158,444361.66,2784.13
"2010","Saeul",14,NA,NA
"2010","Sandweiler",121,623839.17,3596.66
"2010","Sanem",585,522421.88,3128.45
"2010","Schengen",66,602405.45,3019.56
"2010","Schieren",92,609920.4,3698.8
"2010","Schifflange",167,491433.53,2989.49
"2010","Schuttrange",234,748495.92,3924.34
"2010","Septfontaines",69,586461.58,2974.03
"2010","Stadtbredimus",87,591809.93,2886.59
"2010","Steinfort",286,579086.61,3400.82
"2010","Steinsel",183,774837.35,3923.54
"2010","Strassen",139,841289.29,4614.81
"2010","Tandel",75,398777,2474.33
"2010","Troisvierges",142,411557.23,2434.71
"2010","Tuntange",59,612027.24,3118.44
"2010","Useldange",119,554186.01,3049.99
"2010","Vianden",66,470709.09,3095.91
"2010","Vichten",83,481182.07,3088.75
"2010","Wahl",71,401237.8,2484.89
"2010","Waldbillig",115,540925.3,3112.11
"2010","Waldbredimus",68,605160.15,3145.27
"2010","Walferdange",192,706557.31,4269.67
"2010","Weiler-la-Tour",79,740993.72,3549.15
"2010","Weiswampach",184,402085.91,2466.01
"2010","Wellenstein",82,567134.15,2683.12
"2010","Wiltz",142,383925.13,2308.76
"2010","Wincrange",363,412101.72,2478.75
"2010","Winseler",67,465087.97,2818.02
"2010","Wormeldange",142,606860.5,2929.99
"2011","Bascharage",193,682008.89119171,3634.54235180348
"2011","Beaufort",229,431952.589519651,2905.43118743031
"2011","Bech",122,620519.983606558,3463.10989833762
"2011","Beckerich",177,486224.830508475,3160.95962631582
"2011","Berdorf",107,476101.943925234,2919.0292828239
"2011","Bertrange",312,834094.381410256,4439.7051416448
"2011","Bettembourg",383,587924.281984334,3529.88135471443
"2011","Bettendorf",104,528219.788461539,3208.39833461521
"2011","Betzdorf",101,693871.247524752,3466.99265536803
"2011","Bissen",126,564819.603174603,3321.70326683311
"2011","Biwer",148,652309.45945946,3463.2481254133
"2011","Boevange-sur-Attert",157,571955.477707006,3162.94938228874
"2011","Boulaide",234,455009.888888889,2828.66535946998
"2011","Bourscheid",46,569805.869565217,3361.15720424902
"2011","Bous",35,591160,2794.76430551209
"2011","Burmerange",106,570558.688679245,3397.84268930747
"2011","Clémency",79,597782.278481013,3438.55688243798
"2011","Clervaux",160,435208.44375,2742.56282858698
"2011","Colmar-Berg",113,538536.371681416,3124.66544389686
"2011","Consdorf",78,526683.23076923,3262.52565934131
"2011","Consthum",17,NA,NA
"2011","Contern",140,721393.107142857,3802.12191901674
"2011","Dalheim",156,649611.044871795,3334.58254985278
"2011","Diekirch",144,494729.416666667,3008.93665181775
"2011","Differdange",854,450715.325526932,2917.44438379859
"2011","Dippach",327,696981.287461774,3859.3893777865
"2011","Dudelange",493,580481.744421906,3201.95347635199
"2011","Echternach",125,575613.792,3610.40996214752
"2011","Ell",50,547710,3116.98809241687
"2011","Ermsdorf",76,510047.763157895,3261.48193743461
"2011","Erpeldange",64,642865.8125,3527.62169516339
"2011","Esch-sur-Alzette",843,537631.322657175,3056.65360599428
"2011","Esch-sur-Sûre",4,NA,NA
"2011","Eschweiler",117,406200.897435897,2521.52071813802
"2011","Ettelbruck",278,508982.611510791,3176.67243789977
"2011","Feulen",216,537066.152777777,3060.75685494711
"2011","Fischbach",117,572201.145299145,3584.60807871771
"2011","Flaxweiler",125,671418.143999999,3415.43055403629
"2011","Frisange",151,896380.675496689,3769.18279965016
"2011","Garnich",111,701339.504504504,3742.83146009019
"2011","Goesdorf",145,455237.682758621,2757.19682557317
"2011","Grevenmacher",224,581531.736607143,3316.78644544558
"2011","Grosbous",53,532620.132075472,3183.73566834731
"2011","Heffingen",153,543973.124183007,3152.69928891533
"2011","Heiderscheid",52,440677.269230769,2781.2508550151
"2011","Heinerscheid",84,512157.142857143,2463.6340773488
"2011","Hesperange",377,796362.915119363,4096.01280577222
"2011","Hobscheid",273,557026.091575091,3165.67914928011
"2011","Hoscheid",43,537051.744186047,2808.08859589202
"2011","Hosingen",135,479841.888888889,2802.78290614455
"2011","Junglinster",382,654266.052356021,3613.53638006565
"2011","Kayl",191,502502.617801047,3155.24179053388
"2011","Kehlen",256,784410.37109375,3896.11810032327
"2011","Kiischpelt",110,491877.436363636,2982.92794012898
"2011","Koerich",114,650362.289473685,3338.29191184361
"2011","Kopstal",134,836879.664179104,4133.40642429604
"2011","Lac de la Haute-Sûre",127,463707.440944882,2681.73216526304
"2011","Larochette",42,458785.714285714,2787.15292568635
"2011","Lenningen",94,657632.468085106,3618.35465199597
"2011","Leudelange",147,919601.136054422,3683.22034093212
"2011","Lintgen",109,632328.697247706,3424.23693346684
"2011","Lorentzweiler",123,649802.861788618,3565.22143777362
"2011","Luxembourg",1309,781792.94499618,4371.00220261147
"2011","Mamer",285,824054.65614035,4111.91277612733
"2011","Manternach",110,564653.836363637,3369.36891899239
"2011","Medernach",45,563125.333333333,3105.35010353473
"2011","Mersch",599,562464.50918197,3718.41833300623
"2011","Mertert",168,517617.25,3136.17106562296
"2011","Mertzig",432,479868.696759259,3049.25281303322
"2011","Mompach",138,510205.992753623,3387.17532858633
"2011","Mondercange",194,789140.494845361,4078.58857452239
"2011","Mondorf-les-Bains",83,820462.168674699,3743.79671836129
"2011","Munshausen",135,532083.17037037,2597.40221774721
"2011","Neunhausen",82,517509.219512195,3011.03860927259
"2011","Niederanven",300,852390.233333333,4449.68546211997
"2011","Nommern",82,597892.18292683,3528.19705365862
"2011","Pétange",676,421112.721893491,2806.17798691554
"2011","Préizerdaul",166,513700.21686747,2926.77648273113
"2011","Putscheid",20,NA,NA
"2011","Rambrouch",218,472483.848623853,2768.88024686236
"2011","Reckange-sur-Mess",89,708306.662921349,4038.10053689593
"2011","Redange-sur-Attert",145,568531.634482758,3281.55949938906
"2011","Reisdorf",76,442101.789473684,2896.58675307012
"2011","Remich",110,716419.663636364,3236.2716985573
"2011","Roeser",127,749032.448818898,3643.7832466718
"2011","Rosport",118,483444.915254237,2802.92761508712
"2011","Rumelange",176,421050.278409091,2691.03272760768
"2011","Saeul",24,NA,NA
"2011","Sandweiler",98,758447.336734694,4110.11602886764
"2011","Sanem",642,528481.993769469,3219.28159026516
"2011","Schengen",35,749085.714285714,3537.22211552407
"2011","Schieren",132,595674.613636364,3801.84607171218
"2011","Schifflange",295,483816.610169491,2997.43413440121
"2011","Schuttrange",263,842471.992395437,4321.16210321527
"2011","Septfontaines",69,651311.782608695,2899.64556028838
"2011","Stadtbredimus",83,671891.951807229,3105.32662116638
"2011","Steinfort",189,582706.35978836,3379.69420045877
"2011","Steinsel",190,856929.968421052,4193.88485752708
"2011","Strassen",215,836947.311627907,4713.0007250357
"2011","Tandel",133,382792.443609022,2487.04097412355
"2011","Troisvierges",125,417244.808,2528.53478311459
"2011","Tuntange",66,636265.151515152,3272.27107250085
"2011","Useldange",147,543377.789115646,2911.69009585271
"2011","Vianden",103,457270.873786408,2887.82921577944
"2011","Vichten",133,544719.518796992,3387.39857500223
"2011","Wahl",77,472995.584415584,2803.4079501999
"2011","Waldbillig",175,621869.108571428,3200.31616323655
"2011","Waldbredimus",15,NA,NA
"2011","Walferdange",170,933164.252941176,4328.92720246661
"2011","Weiler-la-Tour",111,777939.657657657,3715.26542680989
"2011","Weiswampach",120,405951.975,2463.06110808262
"2011","Wellenstein",71,532183.09859155,2639.84136923527
"2011","Wiltz",207,391845.93236715,2357.57255460451
"2011","Wincrange",431,429011.43387471,2563.03518780265
"2011","Winseler",110,457427.854545454,2856.82965654286
"2011","Wormeldange",155,640369.341935484,3148.30391809076
"2012","Beaufort",130,435420.9154,2836.103
"2012","Bech",43,750238.0465,4195.594
"2012","Beckerich",173,616701.0636,3813.901
"2012","Berdorf",69,549343.0725,3212.776
"2012","Bertrange",96,827322.9271,4265.93
"2012","Bettembourg",220,637545.9773,3657.179
"2012","Bettendorf",95,554614.2947,3044.694
"2012","Betzdorf",68,703296.4853,3451.869
"2012","Bissen",58,564974.1379,3282.375
"2012","Biwer",147,630045.5442,3751.876
"2012","Boevange-sur-Attert",39,648133.8462,3629.649
"2012","Boulaide",164,451527.2073,2790.463
"2012","Bourscheid",58,564555.3448,3148.6
"2012","Bous",31,569238.8387,3053.411
"2012","Clervaux",338,476620.0947,2795.499
"2012","Colmar-Berg",47,682696.1064,3181.71
"2012","Consdorf",42,529570.7619,3283.063
"2012","Contern",66,778619.697,3854.369
"2012","Dalheim",90,622159.2111,3249.739
"2012","Diekirch",133,526352.9248,3441.238
"2012","Differdange",624,450711.9135,2857.026
"2012","Dippach",155,714772.2323,4018.097
"2012","Dudelange",395,576547.1519,3288.869
"2012","Echternach",173,614917.5491,3921.686
"2012","Ell",91,570045.0659,3025.903
"2012","Erpeldange",201,594376.0647,3754.65
"2012","Esch-sur-Alzette",623,506358.6003,2973.827
"2012","Esch-sur-Sûre",101,466171.1584,3032.676
"2012","Eschweiler",74,394735.5,2529.762
"2012","Ettelbruck",203,536772.4089,3166.969
"2012","Feulen",95,554090.8105,3012.205
"2012","Fischbach",25,NA,NA
"2012","Flaxweiler",57,628417.9649,3605.495
"2012","Frisange",105,874898.8952,4089.835
"2012","Garnich",47,669938.766,3578.258
"2012","Goesdorf",92,455444.6413,2844.624
"2012","Grevenmacher",204,577448.1324,3341.198
"2012","Grosbous",118,510851.5254,3251.684
"2012","Heffingen",75,584423.2667,3324.328
"2012","Hesperange",228,817278.0658,4109.265
"2012","Hobscheid",202,593577.2871,3551.955
"2012","Junglinster",248,736335.6573,4148.46
"2012","Kaerjeng",320,689518.4156,3818.623
"2012","Kayl",186,517625.8387,3034.128
"2012","Kehlen",160,772265.675,3887.912
"2012","Kiischpelt",46,364181.5652,2527.883
"2012","Koerich",109,631319.5963,3597.561
"2012","Kopstal",120,1000276.858,4547.332
"2012","Lac de la Haute-Sûre",128,401898.4375,2445.927
"2012","Larochette",62,483661.2903,3005.529
"2012","Lenningen",91,665769.1868,3468.948
"2012","Leudelange",60,807528,4038.239
"2012","Lintgen",31,629626.2258,3476.657
"2012","Lorentzweiler",57,634011.9298,3643.931
"2012","Luxembourg",739,814135.134,4546.837
"2012","Mamer",123,836521.0325,4387.823
"2012","Manternach",57,607701.7544,3350.789
"2012","Mersch",286,559169.3706,3692.633
"2012","Mertert",119,535400.3361,2885.074
"2012","Mertzig",294,569735.6735,3585.566
"2012","Mompach",113,492496.2212,3063.488
"2012","Mondercange",119,698692.8235,3847.791
"2012","Mondorf-les-Bains",52,698817.3077,3571.26
"2012","Niederanven",91,926584.7912,4333.928
"2012","Nommern",68,668418.5882,3825.795
"2012","Parc Hosingen",175,452973.0057,2844
"2012","Pétange",520,423019.9712,2790.512
"2012","Préizerdaul",103,487023.301,3050.483
"2012","Putscheid",23,NA,NA
"2012","Rambrouch",144,477152.3264,2893.071
"2012","Reckange-sur-Mess",52,664946.9423,4036.935
"2012","Redange-sur-Attert",97,548589.0206,3132.9
"2012","Reisdorf",40,446664.5,2543.075
"2012","Remich",74,601718.6757,3244.018
"2012","Roeser",200,755225.88,3659.742
"2012","Rosport",122,515743.7623,2778.422
"2012","Rumelange",114,417421.0526,2512.246
"2012","Saeul",10,NA,NA
"2012","Sandweiler",48,797085.375,4156.81
"2012","Sanem",510,545779.7412,3275.519
"2012","Schengen",99,631731.9293,3359.628
"2012","Schieren",41,656252.4878,3540.25
"2012","Schifflange",173,466166.474,3015.004
"2012","Schuttrange",153,931766.9542,4836.194
"2012","Septfontaines",15,NA,NA
"2012","Stadtbredimus",50,703222.3,3415.962
"2012","Steinfort",103,723142.1165,3720.089
"2012","Steinsel",150,844777.5533,4328.485
"2012","Strassen",116,886212.8966,4887.734
"2012","Tandel",51,475616.7647,2927.715
"2012","Troisvierges",56,450639.9107,2838.74
"2012","Tuntange",64,556550.7813,3131.823
"2012","Useldange",85,531399.8471,2933.432
"2012","Vallée de l'Ernz",157,535449.5032,3116.596
"2012","Vianden",92,518509.9783,3173.153
"2012","Vichten",192,581747.6146,3632.863
"2012","Wahl",60,491184.0167,3165.042
"2012","Waldbillig",170,584200.4353,3115.016
"2012","Waldbredimus",21,NA,NA
"2012","Walferdange",100,948476.49,4381.596
"2012","Weiler-la-Tour",145,754645.1379,3920.884
"2012","Weiswampach",42,463762.2857,2774.608
"2012","Wiltz",331,365383.9637,2287.289
"2012","Wincrange",205,438810.0537,2640.313
"2012","Winseler",78,449947.4872,2686.02
"2012","Wormeldange",118,575447.0932,3333.804
"2013","Beaufort",92,501089.108695652,3090.73266239436
"2013","Bech",27,NA,NA
"2013","Beckerich",135,632231.096296296,3602.22103297682
"2013","Berdorf",33,560539.03030303,3454.71614892816
"2013","Bertrange",124,1011797.86290323,4984.51703729272
"2013","Bettembourg",167,611864.371257485,3636.73391615566
"2013","Bettendorf",75,579850.8,2974.83434819339
"2013","Betzdorf",103,774174.563106796,3858.9690043197
"2013","Bissen",44,583113.636363636,3605.0345544974
"2013","Biwer",105,709993.59047619,3891.47817681054
"2013","Boevange-sur-Attert",34,691289.705882353,3382.8231371317
"2013","Boulaide",114,468039.122807018,2756.44138333696
"2013","Bourscheid",38,551145.552631579,3010.39435525449
"2013","Bous",33,593965.878787879,3526.28643308732
"2013","Clervaux",256,483867.375,2907.82337391488
"2013","Colmar-Berg",28,NA,NA
"2013","Consdorf",38,645333.5,3456.88824622433
"2013","Contern",50,934984,4280.19896403462
"2013","Dalheim",60,648910.383333333,3489.63692681419
"2013","Diekirch",118,559607.406779661,3188.63344408374
"2013","Differdange",503,464928.382962227,2907.49748499132
"2013","Dippach",105,765266.723809524,4073.59729959298
"2013","Dudelange",359,553892.883008357,3308.79943537053
"2013","Echternach",113,675189.876106195,3918.41530708376
"2013","Ell",86,562718.197674419,3205.61842452844
"2013","Erpeldange",133,610638.360902256,4042.54282892945
"2013","Esch-sur-Alzette",596,516905.932885906,3072.24413168722
"2013","Esch-sur-Sûre",96,486155.510416667,2905.93911976355
"2013","Eschweiler",69,458188.463768116,2550.74375087615
"2013","Ettelbruck",224,585816.138392857,3419.44023346767
"2013","Feulen",63,588143.047619048,3029.28443335561
"2013","Fischbach",49,608899.292653061,3739.39055219974
"2013","Flaxweiler",75,723106.093333333,3635.11016185798
"2013","Frisange",126,813154.698412698,4111.2683500583
"2013","Garnich",59,766843.966101695,4095.71768097597
"2013","Goesdorf",74,418049.945945946,2717.74907626621
"2013","Grevenmacher",150,581542.293333333,3398.87521462999
"2013","Grosbous",99,558455.858585859,3322.7468843878
"2013","Heffingen",94,646301.436170213,3540.96707577367
"2013","Hesperange",160,892235.625,4245.7662738516
"2013","Hobscheid",196,590505.265306122,3570.82249260084
"2013","Junglinster",256,791494.30859375,4481.19755262842
"2013","Kaerjeng",339,685005.867256637,4127.66929766299
"2013","Kayl",181,487696.276243094,3054.78912532419
"2013","Kehlen",158,851387.727848101,4004.90808394401
"2013","Kiischpelt",46,417595.217391304,2689.72095471288
"2013","Koerich",87,671615.425287356,3619.7156500742
"2013","Kopstal",193,984481.129533679,5093.23971517502
"2013","Lac de la Haute-Sûre",75,403540,2628.03511688614
"2013","Larochette",54,525407.407407407,3180.19894923804
"2013","Lenningen",48,698279.270833333,3838.38006744286
"2013","Leudelange",50,867942.1,4770.42299784425
"2013","Lintgen",31,620800,3261.98037168389
"2013","Lorentzweiler",44,710027.977272727,3571.35522378017
"2013","Luxembourg",669,977310.713004484,4968.40990256818
"2013","Mamer",183,884917.153005464,5026.75989868911
"2013","Manternach",91,582716.197802198,3296.84847139023
"2013","Mersch",311,639010.887459807,3730.71892102002
"2013","Mertert",109,546902.403669725,3092.829168116
"2013","Mertzig",180,590085.922222222,3559.76426505449
"2013","Mompach",56,478862.642857143,2739.49880653982
"2013","Mondercange",138,719440.166666667,3769.52377595875
"2013","Mondorf-les-Bains",72,729256.944444445,3684.73256397992
"2013","Niederanven",131,1131560.40458015,4903.0689148302
"2013","Nommern",47,633205.106382979,3775.82943056329
"2013","Parc Hosingen",158,453107.696202532,2874.28654144499
"2013","Pétange",421,481914.964370546,2947.58027572435
"2013","Préizerdaul",20,NA,NA
"2013","Putscheid",30,517165.8,2979.20196875809
"2013","Rambrouch",163,564467.26993865,2946.11783375652
"2013","Reckange-sur-Mess",134,713355.97761194,4662.0695794307
"2013","Redange-sur-Attert",107,552845.485981308,3364.44168943177
"2013","Reisdorf",26,NA,NA
"2013","Remich",110,606443.890909091,2971.799219673
"2013","Roeser",188,783831.563829787,3923.41313871981
"2013","Rosport",115,491352.930434783,2690.78958973076
"2013","Rumelange",118,451500,2776.44087481959
"2013","Saeul",26,NA,NA
"2013","Sandweiler",42,859307.619047619,4218.69624421348
"2013","Sanem",374,612238.101604278,3517.36318956831
"2013","Schengen",96,764796.510416667,3387.47563883507
"2013","Schieren",73,605575.589041096,3424.5716762687
"2013","Schifflange",243,489681.481481481,3113.43420884374
"2013","Schuttrange",156,998458.58974359,4765.86423217486
"2013","Septfontaines",22,NA,NA
"2013","Stadtbredimus",30,711550.766666667,3643.67263555615
"2013","Steinfort",92,660500.010869565,3530.7163400534
"2013","Steinsel",82,925564.792682927,4458.60752361524
"2013","Strassen",97,1031807.69072165,5340.56946682427
"2013","Tandel",46,420861.739130435,2649.97824980654
"2013","Troisvierges",76,465273.631578947,2657.11747121875
"2013","Tuntange",43,634560.744186047,3345.94863452242
"2013","Useldange",78,576965.346153846,3117.24126259208
"2013","Vallée de l'Ernz",116,518725.396551724,3134.04255403162
"2013","Vianden",67,524726.970149254,3151.41107094772
"2013","Vichten",198,586444.611111111,3804.72509031454
"2013","Wahl",25,NA,NA
"2013","Waldbillig",178,576610.5,3295.74148663282
"2013","Waldbredimus",38,652906.5,3564.92315440188
"2013","Walferdange",117,953905.982905983,4694.20634180523
"2013","Weiler-la-Tour",116,811517.913793103,4233.00075642539
"2013","Weiswampach",49,419793.224489796,2829.78795272749
"2013","Wiltz",224,389888.540178571,2414.61546450976
"2013","Wincrange",183,507850.409836066,2760.97284102367
"2013","Winseler",82,486993.902439024,2671.67993366481
"2013","Wormeldange",87,722564.91954023,3392.82408479912
"2014","Beaufort",70,493067.685714286,3053.48117610607
"2014","Bech",20,NA,NA
"2014","Beckerich",82,596634.134146341,3144.50138040522
"2014","Berdorf",23,NA,NA
"2014","Bertrange",77,1003118.98701299,4979.77195244304
"2014","Bettembourg",103,629249.029126214,3679.39927536885
"2014","Bettendorf",86,580987.209302326,3092.36967131609
"2014","Betzdorf",92,758840.5,4016.22924302637
"2014","Bissen",48,539104.166666667,3336.58531113558
"2014","Biwer",80,775079.8125,3916.86710596642
"2014","Boevange-sur-Attert",34,667093.264705882,3547.61595328963
"2014","Boulaide",75,468327.6,2538.878056763
"2014","Bourscheid",24,NA,NA
"2014","Bous",27,NA,NA
"2014","Clervaux",178,499386.764044944,2983.32338949011
"2014","Colmar-Berg",34,497497.058823529,3395.0261495697
"2014","Consdorf",34,618608.235294118,3301.8291629853
"2014","Contern",30,901956.666666667,4354.64677189377
"2014","Dalheim",41,642134.268292683,3619.27938212628
"2014","Diekirch",85,576412,3082.878328439
"2014","Differdange",344,481404.549418605,2976.89973809142
"2014","Dippach",51,769862.254901961,3944.81175144453
"2014","Dudelange",336,566328.693452381,3351.43558399779
"2014","Echternach",90,692268.311111111,4006.50229439403
"2014","Ell",40,603267.975,3532.14436558996
"2014","Erpeldange",126,639921.984126984,4319.17871245304
"2014","Esch-sur-Alzette",437,538139.784897025,3132.70043982996
"2014","Esch-sur-Sûre",78,520988.91025641,2964.9272144491
"2014","Eschweiler",61,466775.754098361,2643.76612216258
"2014","Ettelbruck",185,652028.45945946,3716.43452901425
"2014","Feulen",37,550829.783783784,3234.15153235332
"2014","Fischbach",33,661519.151515151,3866.05690712598
"2014","Flaxweiler",50,803778.18,3844.51003500581
"2014","Frisange",117,815108.196581197,3984.62429655621
"2014","Garnich",50,782588.36,4154.53012393479
"2014","Goesdorf",58,457036.896551724,2831.20351513555
"2014","Grevenmacher",88,599228.193181818,3368.91615843225
"2014","Grosbous",69,528700,3320.53717755492
"2014","Heffingen",59,598454.813559322,3443.59500893822
"2014","Hesperange",168,817821.726190476,4248.73158380002
"2014","Hobscheid",127,600412.826771654,3511.52413645108
"2014","Junglinster",186,789609.822580645,4583.32904046146
"2014","Kaerjeng",230,722727.930434783,4161.90723734341
"2014","Kayl",115,499995.87826087,3143.30111643257
"2014","Kehlen",118,831364.186440678,4375.74645347292
"2014","Kiischpelt",42,443659.523809524,2635.2584329251
"2014","Koerich",74,800921.932432432,3938.77564607765
"2014","Kopstal",127,1027088.91338583,5106.79935622635
"2014","Lac de la Haute-Sûre",44,444920.454545454,2676.18485543749
"2014","Larochette",43,490581.395348837,2871.48546422727
"2014","Lenningen",18,NA,NA
"2014","Leudelange",50,983570.7,5053.45343069354
"2014","Lintgen",29,NA,NA
"2014","Lorentzweiler",53,676499.981132075,3774.47231545448
"2014","Luxembourg",521,961777.827255278,5037.21192350781
"2014","Mamer",117,1007857.60683761,4840.68227970863
"2014","Manternach",66,553158.818181818,3187.050697505
"2014","Mersch",238,711619.302521008,3823.11221896265
"2014","Mertert",62,538245.322580645,3151.89572325153
"2014","Mertzig",126,616881.166666667,3808.34646060906
"2014","Mompach",32,487718.75,2690.8995863202
"2014","Mondercange",87,721246.942528736,4060.94288903305
"2014","Mondorf-les-Bains",56,765250,3553.06956514749
"2014","Niederanven",151,1132974.21192053,4958.96547542551
"2014","Nommern",31,596433.612903226,3470.83670814879
"2014","Parc Hosingen",123,452797.12195122,2952.28573541219
"2014","Pétange",333,510240.15015015,3097.64187860461
"2014","Préizerdaul",24,NA,NA
"2014","Putscheid",16,NA,NA
"2014","Rambrouch",137,635064.635036496,3021.47875624429
"2014","Reckange-sur-Mess",65,754104.215384615,4309.20825469159
"2014","Redange-sur-Attert",77,530931.350649351,3309.53450858824
"2014","Reisdorf",24,NA,NA
"2014","Remich",97,592397.93814433,2938.58144031298
"2014","Roeser",108,764277.777777778,4288.6353017065
"2014","Rosport",56,566249.285714286,2913.82989259659
"2014","Rumelange",94,474297.872340425,2770.71253136567
"2014","Saeul",32,667703.65625,3309.92440697543
"2014","Sandweiler",29,NA,NA
"2014","Sanem",274,612404.02919708,3526.17414274412
"2014","Schengen",77,762246.753246753,3495.96233806057
"2014","Schieren",71,608551.915492958,3535.64285037849
"2014","Schifflange",142,492976.056338028,3229.43929991744
"2014","Schuttrange",104,1059116.30769231,4949.77878704039
"2014","Septfontaines",20,NA,NA
"2014","Stadtbredimus",36,608107.222222222,3548.69749964595
"2014","Steinfort",114,649680,3644.46832613715
"2014","Steinsel",71,1021585.92957746,4577.21754390126
"2014","Strassen",60,1115055.88333333,5368.55506791301
"2014","Tandel",33,494810.212121212,2738.03934754921
"2014","Troisvierges",65,446082.4,2710.27894706558
"2014","Tuntange",37,761637.297297297,3458.03768402182
"2014","Useldange",66,571101.378787879,3314.17617531447
"2014","Vallée de l'Ernz",102,573077.294117647,3416.37798940378
"2014","Vianden",39,488167.487179487,2874.91987942173
"2014","Vichten",118,595194.483050847,3589.05497791335
"2014","Wahl",22,NA,NA
"2014","Waldbillig",129,604859.302325581,3383.56885373039
"2014","Waldbredimus",34,724741.676470588,3475.46092973276
"2014","Walferdange",71,1139690.12676056,4896.42249450797
"2014","Weiler-la-Tour",59,831962.79661017,4510.17378299658
"2014","Weiswampach",42,440049.142857143,2875.18930195397
"2014","Wiltz",163,414439.466257669,2394.13014990516
"2014","Wincrange",114,478457.192982456,2707.88358478558
"2014","Winseler",42,486131.571428571,2707.73296123355
"2014","Wormeldange",69,673361.463768116,3394.28171872624
"2015","Beaufort",116,528418.25862069,3272.59747987958
"2015","Bech",21,NA,NA
"2015","Beckerich",70,724510.342857143,3808.19580583451
"2015","Berdorf",52,652922.269230769,3716.01473858065
"2015","Bertrange",49,1230921.3877551,5282.37251465725
"2015","Bettembourg",135,739958.814814815,3957.35208285781
